tournament id,player id,hole_par,strokes,n_rounds,made_cut,pos,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
401353228,1059,280,282,4,1,31,T31,-0.54,-0.3,1.09,1.01,1.8,1.26
401353228,9037,280,274,4,1,2,T2,1.78,0.15,0.12,1.21,1.48,3.26
401353228,4859,280,284,4,1,37,T37,-0.39,0.53,-0.03,0.65,1.15,0.76
401353228,4781,140,153,2,0,NA,CUT,-0.36,-0.31,-2.63,-2.12,-5.06,-5.42
401353228,8973,280,272,4,1,1,1,2.1,-0.87,1.06,1.47,1.66,3.76
401353228,9143,140,145,2,0,NA,CUT,-0.15,-0.8,-0.94,0.47,-1.26,-1.42
401353228,6931,280,278,4,1,9,T9,0.56,-0.04,1.08,0.65,1.7,2.26
401353228,1367,140,145,2,0,NA,CUT,-2.47,0.46,-0.48,1.07,1.05,-1.42
401353228,257,280,287,4,1,49,T49,-0.3,0.58,0.4,-0.68,0.31,0.01
401353228,2571,280,291,4,1,61,61,-0.61,-0.03,-0.59,0.24,-0.38,-0.99
401353228,3351,140,143,2,0,NA,CUT,0.49,-1.92,1.57,-0.55,-0.91,-0.42
401353228,6954,280,282,4,1,31,T31,-0.06,0.67,0.63,0.01,1.32,1.26
401353228,5729,140,142,2,0,NA,CUT,1.76,-0.23,-0.39,-1.07,-1.68,0.08
401353228,3688,280,295,4,1,64,T64,-1.18,-0.86,0.49,-0.43,-0.81,-1.99
401353228,6151,70,76,1,0,NA,WD,-1.73,-0.89,-1.62,-2.18,-4.69,-6.41
401353228,10548,140,143,2,0,NA,CUT,-0.74,1.2,0.86,-1.75,0.32,-0.42
401353228,4412121,280,281,4,1,25,T25,0.5,0.52,0.66,-0.17,1.01,1.51
401353228,1600,70,70,1,0,NA,WD,-1.28,0.46,0.65,-0.24,0.86,-0.41
401353228,3792,280,279,4,1,15,T15,0.15,0.37,1.09,0.41,1.86,2.01
401353228,1042,140,142,2,0,NA,CUT,1.99,-0.22,-0.99,-0.7,-1.91,0.08
401353228,10831,280,288,4,1,51,T51,-0.53,-1.19,0.61,0.87,0.29,-0.24
401353228,5692,280,288,4,1,51,T51,0.68,0.31,-0.63,-0.6,-0.92,-0.24
401353228,5579,140,147,2,0,NA,CUT,-1.14,-1.44,-0.26,0.42,-1.28,-2.42
401353228,1674,140,141,2,0,NA,CUT,-0.94,-0.23,0.28,1.47,1.52,0.58
401353228,1750,280,281,4,1,25,T25,0.75,1.12,-0.72,0.36,0.76,1.51
401353228,1935,140,143,2,0,NA,CUT,-0.76,0.66,0.08,-0.4,0.34,-0.42
401353228,3702,280,280,4,1,21,T21,1.08,0.43,0.63,-0.38,0.68,1.76
401353228,1254,140,147,2,0,NA,CUT,0.05,-0.38,-0.11,-1.99,-2.47,-2.42
401353228,5409,280,285,4,1,41,T41,-0.69,-0.19,0.92,0.46,1.2,0.51
401353228,4483,280,283,4,1,35,T35,0.21,-0.43,0.75,0.48,0.8,1.01
401353228,3470,280,276,4,1,5,NA,NA,NA,NA,NA,NA,NA
401353228,377,280,285,4,1,41,T41,0.84,0.72,-0.98,-0.07,-0.33,0.51
401353228,6090,140,148,2,0,NA,CUT,-0.45,0.8,-1.45,-1.81,-2.47,-2.92
401353228,9804,140,148,2,0,NA,CUT,0.32,-0.56,-2.2,-0.49,-3.24,-2.92
401353228,78,280,278,4,1,9,T9,0.9,-0.54,1.39,0.51,1.36,2.26
401353228,158,280,280,4,1,21,T21,-0.29,0.78,0.91,0.36,2.05,1.76
401353228,1195,140,142,2,0,NA,CUT,0.23,0.25,-0.92,0.52,-0.14,0.08
401353228,6937,280,277,4,1,6,T6,0,1.16,1.23,0.12,2.51,2.51
401353228,4449,140,147,2,0,NA,CUT,0.25,0.15,-2.05,-0.77,-2.67,-2.42
401353228,7081,280,284,4,1,37,T37,-0.22,0.55,0.11,0.32,0.98,0.76
401353228,9076,140,146,2,0,NA,CUT,-2.88,0.36,-0.07,0.67,0.97,-1.92
401353228,1037,280,284,4,1,37,T37,0.32,0.47,-0.15,0.12,0.44,0.76
401353228,6001,140,142,2,0,NA,CUT,1.35,-0.43,-1.14,0.3,-1.27,0.08
401353228,10932,140,147,2,0,NA,CUT,-1.69,-0.81,-0.75,0.83,-0.73,-2.42
401353228,8961,140,141,2,0,NA,CUT,-0.26,0.23,-0.29,0.91,0.84,0.58
401353228,9569,140,147,2,0,NA,CUT,-1.04,-0.8,-1.22,0.64,-1.38,-2.42
401353228,2230,280,285,4,1,41,T41,0.17,0.77,-1.94,1.51,0.34,0.51
401353228,1798,140,143,2,0,NA,CUT,-0.54,-0.13,-0.89,1.14,0.13,-0.42
401353228,5553,280,284,4,1,37,T37,0.38,-0.01,-0.35,0.74,0.38,0.76
401353228,3970,280,283,4,1,35,T35,1.68,-0.38,-1.04,0.74,-0.67,1.01
401353228,10664,280,295,4,1,64,T64,-2.07,0.22,-0.45,0.31,0.08,-1.99
401353228,9626,140,148,2,0,NA,CUT,0.99,-0.46,-2.29,-1.16,-3.91,-2.92
401353228,1185,140,141,2,0,NA,CUT,-1.39,-0.16,2.44,-0.32,1.97,0.58
401353228,4408315,140,146,2,0,NA,CUT,-1.36,0.47,-1.14,0.11,-0.56,-1.92
401353228,10360,140,144,2,0,NA,CUT,-0.42,0.56,1.22,-2.28,-0.5,-0.92
401353228,3532,140,141,2,0,NA,CUT,0.65,1.13,-0.81,-0.4,-0.07,0.58
